Country,Year,SST_C,Salinity_ppt,Chlorophyll_mg_m3,pH,Fleet_Size,Fishing_Effort_hours,Fuel_Consumption_L,Fish_Price_USD_ton,Fuel_Price_USD_L,Operating_Cost_USD,Capture_Production_Mt,Aquaculture_Production_Mt,Total_Production_Mt,CPUE,Sustainability_Score,Sustainable
USA,2013,25.24,38.05,0.791,8.05,31850,47450.0,513571.0,820.21,1.04,573944.0,3.282,4.038,7.321,0.0692,0.607,1
Spain,2020,17.38,34.14,0.476,7.96,120,11737.0,358801.0,1478.61,1.04,424182.0,1.694,1.815,3.508,0.1443,0.531,1
USA,2011,19.0,34.42,0.548,8.47,2921,7649.0,87008.0,977.77,1.32,139270.0,2.772,3.838,6.61,0.3624,0.696,1
Iceland,2019,27.46,36.4,0.842,7.92,17728,48317.0,2340792.0,4138.15,1.34,3204429.0,1.568,2.236,3.804,0.0324,0.529,1
South Korea,2018,12.62,32.27,1.889,7.92,6087,81118.0,3816771.0,1527.13,1.27,4902854.0,0.655,1.296,1.952,0.0081,0.463,0
Peru,2012,27.82,35.92,0.186,8.17,2639,35165.0,683578.0,1584.56,1.02,750857.0,3.278,3.93,7.208,0.0932,0.482,0
USA,2010,26.52,35.04,0.586,7.8,912,46338.0,606060.0,731.98,1.05,704352.0,2.804,2.289,5.092,0.0605,0.497,0
Norway,2019,23.64,36.45,0.774,8.27,416,9225.0,289336.0,851.23,1.78,562973.0,0.694,0.759,1.453,0.0753,0.684,1
Chile,2013,21.91,31.65,0.342,7.9,3475,14291.0,430264.0,996.07,1.29,604546.0,2.484,2.572,5.057,0.1738,0.602,1
Vietnam,2016,16.16,36.58,0.403,8.38,364,39611.0,539166.0,3278.78,1.05,635650.0,4.478,4.615,9.093,0.113,0.474,0
Ecuador,2021,22.05,34.27,1.914,7.86,6664,8825.0,224760.0,741.28,1.1,314266.0,2.596,3.241,5.837,0.2941,0.691,1
Spain,2011,15.85,35.13,1.651,8.07,3908,57804.0,2535649.0,643.93,1.11,2896915.0,1.9,2.963,4.863,0.0329,0.51,1
Spain,2017,26.27,38.58,1.763,8.07,2405,3183.0,88910.0,1093.97,1.09,137217.0,2.298,3.409,5.707,0.722,0.64,1
China,2021,16.44,32.36,2.055,8.16,3258,54749.0,1498793.0,1080.45,1.59,2406366.0,89.676,152.787,242.463,1.6379,0.565,1
Argentina,2012,21.94,35.38,1.835,8.03,7399,3152.0,103672.0,682.14,1.02,153618.0,1.099,1.381,2.48,0.3486,0.704,1
India,2017,13.25,36.27,0.34,7.84,966,7899.0,347139.0,606.97,1.33,495601.0,6.805,12.638,19.443,0.8614,0.56,1
India,2011,22.12,36.74,4.21,8.1,21945,59172.0,2475263.0,936.7,1.43,3568454.0,7.941,5.502,13.443,0.1342,0.524,1
Spain,2013,20.82,35.71,0.153,8.29,1385,73895.0,1313496.0,1016.77,1.7,2267017.0,0.266,0.327,0.593,0.0036,0.477,0
Iceland,2021,21.46,34.03,4.918,8.01,993,12354.0,163502.0,2672.17,1.0,181998.0,2.011,2.186,4.197,0.1628,0.68,1
South Korea,2014,20.28,39.27,1.255,8.43,1488,24018.0,392598.0,815.3,1.1,464839.0,1.227,1.162,2.39,0.0511,0.643,1
Malaysia,2023,17.37,34.88,0.039,7.9,2040,6325.0,164064.0,2372.11,1.6,309438.0,2.183,3.475,5.658,0.3451,0.548,1
China,2017,19.67,34.6,1.063,8.23,3601,3303.0,118026.0,2080.31,1.84,228115.0,80.008,80.34,160.348,24.2146,0.993,1
China,2017,23.4,33.75,0.812,8.0,1231,51514.0,758621.0,1765.18,1.64,1298165.0,76.255,70.904,147.159,1.4803,0.627,1
Philippines,2014,24.91,31.42,0.295,7.97,17032,104074.0,4181881.0,880.28,1.59,6706485.0,1.235,3.095,4.33,0.0119,0.425,0
Spain,2013,23.62,34.74,1.102,8.22,873,178508.0,3878693.0,2003.12,0.84,3327402.0,0.382,0.27,0.652,0.0021,0.441,0
Philippines,2019,25.34,30.82,5.873,8.04,9953,40694.0,571547.0,2162.33,1.27,767720.0,0.507,1.078,1.585,0.0125,0.619,1
Indonesia,2014,24.23,32.08,1.336,8.06,218,64182.0,2459919.0,340.43,1.09,2722090.0,15.007,20.06,35.066,0.2338,0.579,1
